	16S0064C	16S0064O	16S0064W	16S0073C	16S0073O	16S0073W	16S0074C	16S0074O	16S0084C	16S0084W	16S0087C	16S0087O	16S0088C	16S0088O	16S0089C	16S0089O	16S0090C	16S0090O	16S0092C	16S0092O	16S0093C	16S0093O	16S0093W	16S0094C	16S0094O	16S0113C	16S0113O	16S0117C	16S0117O	16S0117W	16S0118C	16S0118O	16S0118W	16S0119C	16S0119O	16S0119W	16S0120C	16S0120O	16S0120W	16S0123C	16S0123O	16S0123W	16S0141C	16S0141O	16S0142C	16S0142O	16S0143C	16S0143O	16S0146C	16S0146O	16SNEGCTRL
ASV_0091	0	0	0	0	0	0	171	37	0	109	0	0	0	22	0	0	0	0	22	0	0	0	0	0	0	0	10369	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_0092	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	10671	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_0093	0	0	3198	12	0	616	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	85	5605	497	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59	0	0	13	0	355	142	14	0	0	0	0	0
ASV_0094	16	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10479	0	0	0	0	24	20	0	0	39	0	0	0	0	0	0	0
ASV_0095	0	0	0	37	4103	25	213	1801	0	0	47	270	0	0	0	53	129	15	51	0	0	267	51	55	0	0	0	0	100	1895	114	0	0	0	390	0	286	0	0	281	0	0	0	0	0	0	0	347	0	29	0
ASV_0096	220	0	126	0	0	0	16	9	0	0	0	0	25	0	0	0	30	368	0	0	75	214	0	942	0	0	1280	0	0	0	48	0	0	0	100	0	0	678	0	128	2266	19	0	800	2232	14	253	0	0	0	0
ASV_0097	85	0	0	0	0	0	0	16	0	0	0	0	15	0	0	0	0	514	0	0	75	13	0	2656	0	0	12	0	0	0	0	0	0	0	10	0	13	75	0	32	2173	0	0	344	96	138	3256	0	0	172	0
ASV_0098	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	81	391	15	0	9109	0	0	0	0	40	0	0
ASV_0099	0	0	69	21	0	274	99	17	0	147	8	157	247	566	21	338	158	26	176	0	32	165	88	15	754	826	0	126	35	34	1224	504	1174	1076	247	26	17	19	113	32	7	11	8	70	57	3	6	54	56	6	195
ASV_0100	0	0	0	45	0	0	0	0	0	0	0	0	0	13	0	0	95	715	0	0	86	0	0	0	0	0	26	0	0	0	9	0	0	0	1053	0	0	0	0	0	1198	0	0	92	0	0	0	0	380	5547	0
ASV_0101	0	0	0	0	0	0	0	0	0	848	0	0	0	0	0	0	0	0	0	0	0	73	217	282	0	0	0	0	297	6959	449	0	11	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_0102	0	0	0	17	0	0	0	0	0	0	941	7895	0	0	74	113	0	0	0	0	0	0	0	0	0	0	0	0	43	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_0103	0	0	0	0	0	0	0	0	0	0	5111	575	0	0	0	311	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3021	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_0104	17	0	24	79	6372	18	0	36	0	0	0	0	5	0	0	0	40	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	43	0	14	2306	0	0	0
ASV_0105	0	0	0	6247	0	0	0	0	0	0	581	84	101	270	0	0	0	0	0	0	0	0	0	0	0	0	79	49	0	0	0	0	0	0	0	0	115	0	0	0	0	0	0	0	0	0	0	0	1329	0	0
ASV_0106	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1403	43	0	0	0	0	0	0	0	0	7378	0
ASV_0107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	256	0	30	205	30	0	0	0	8148	0	0	46	0	12	47	0	0	0	0	0	0	0	0	0	0
ASV_0108	122	0	0	0	10	0	0	75	0	0	0	0	25	0	0	0	0	12	0	0	0	0	0	200	0	0	343	0	0	0	0	0	0	0	673	0	0	0	0	0	11	0	110	430	2595	12	2171	0	0	1907	0
ASV_0109	0	0	0	0	11	0	7211	778	0	0	0	41	0	0	27	148	0	0	254	0	0	0	0	0	0	0	0	0	0	0	136	0	0	0	84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_0110	0	0	63	12	0	0	0	0	0	0	0	0	3944	0	0	0	0	1931	0	0	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2581	0	0	0	0	0	0	0	80	0	0	0	0	0
ASV_0111	0	0	0	0	0	0	0	13	0	0	0	0	44	55	0	0	0	897	0	0	59	0	0	0	0	0	339	0	0	0	0	0	0	0	1364	0	0	370	0	0	3272	13	0	2100	0	22	0	0	0	28	0
